NBIX | 2018-12-31 : 0.19 : 71.41 | 2018-09-30 : 0.52 : 122.95 | 2018-06-30 : -0.07 : 98.24 | 2018-03-31 : -0.47 : 82.93 | 2017-12-31 : 0.08 : 77.59 | 2017-09-30 : -0.13 : 61.28
EQR | 2018-12-31 : 0.31 : 65.5091 | 2018-09-30 : 0.58 : 65.2212 | 2018-06-30 : 0.31 : 62.193 | 2018-03-31 : 0.57 : 59.6547 | 2017-12-31 : 0.34 : 61.1782 | 2017-09-30 : 0.37 : 62.7545
HPP | 2018-12-31 : 0.1 : 28.8492 | 2018-09-30 : 0.11 : 32.2163 | 2018-06-30 : 0.1 : 34.6145 | 2018-03-31 : 0.31 : 31.5543 | 2017-12-31 : 0.21 : 32.9654 | 2017-09-30 : 0.07 : 32.0374
APLS | 2018-12-31 : -0.65 : 13.19 | 2018-09-30 : -0.64 : 17.78 | 2018-06-30 : -0.61 : 22.0 | 2018-03-31 : -0.43 : 22.11 | 2017-12-31 : -0.3627 : 21.7 | 2017-03-31 : -0.55 : 0.0
TWTR | 2018-12-31 : 0.33 : 28.74 | 2018-09-30 : 1.02 : 28.46 | 2018-06-30 : 0.13 : 43.67 | 2018-03-31 : 0.08 : 29.01 | 2017-12-31 : 0.12 : 24.01 | 2017-09-30 : -0.03 : 16.87
IRWD | 2018-12-31 : -0.1 : 10.36 | 2018-09-30 : -1.14 : 18.46 | 2018-06-30 : -0.32 : 19.12 | 2018-03-31 : -0.29 : 15.43 | 2017-12-31 : 0.09 : 14.99 | 2017-09-30 : -0.22 : 15.77
B | 2018-12-31 : 0.75 : 53.4801 | 2018-09-30 : 0.75 : 70.6512 | 2018-06-30 : 0.93 : 58.449 | 2018-03-31 : 0.72 : 59.2743 | 2017-12-31 : -1.09 : 62.4805 | 2017-09-30 : 0.65 : 69.4085
STAA | 2018-12-31 : 0.02 : 31.91 | 2018-09-30 : 0.03 : 48.0 | 2018-06-30 : 0.04 : 31.0 | 2018-03-31 : 0.01 : 14.8 | 2017-12-31 : 0.0 : 15.5 | 2017-09-30 : 0.03 : 12.45
QIWI | 2018-09-30 : 0.2084 : 13.17 | 2018-06-30 : 0.2447 : 15.75 | 2018-03-31 : 0.2668 : 19.11 | 2017-12-31 : 0.1234 : 17.33 | 2017-09-30 : 0.2179 : 16.94 | 2017-06-30 : 0.3061 : 24.4051
SPWR | 2018-12-31 : -1.12 : 4.97 | 2018-09-30 : -0.64 : 7.3 | 2018-06-30 : -3.17 : 7.67 | 2018-03-31 : -0.83 : 7.98 | 2017-12-31 : -4.11 : 8.43 | 2017-09-30 : -0.33 : 7.29
JBGS | 2018-12-31 : -0.02 : 34.81 | 2018-09-30 : 0.19 : 36.2731 | 2018-06-30 : 0.17 : 35.6978 | 2018-03-31 : -0.04 : 32.7932 | 2017-12-31 : -0.15 : 33.7854 | 2017-09-30 : -0.61 : 32.8336
RWT | 2018-12-31 : -0.04 : 14.7857 | 2018-09-30 : 0.42 : 15.6382 | 2018-06-30 : 0.38 : 15.5779 | 2018-03-31 : 0.5 : 14.3664 | 2017-12-31 : 0.34 : 13.5149 | 2017-09-30 : 0.41 : 14.5817
ALTM | 2018-12-31 : -0.06 : 7.73 | 2018-09-30 : -0.09 : 10.16 | 2018-06-30 : 0.01 : 9.9 | 2018-03-31 : 0.02 : 9.79 | 2017-12-31 : -0.25 : 9.71 | 2017-09-30 : 0.0047 : 9.75
ALK | 2018-12-31 : 0.18 : 60.5301 | 2018-09-30 : 1.75 : 68.1755 | 2018-06-30 : 1.56 : 59.4954 | 2018-03-31 : 0.03 : 60.7066 | 2017-12-31 : 2.56 : 71.6746 | 2017-09-30 : 2.09 : 74.0297
